service_date,ds,y
0,2010-01-01,182117
1,2010-02-01,159489
2,2010-03-01,198639
3,2010-04-01,162854
4,2010-05-01,158039
5,2010-06-01,157840
6,2010-07-01,163614
7,2010-08-01,155877
8,2010-09-01,161237
9,2010-10-01,170548
10,2010-11-01,177278
11,2010-12-01,184281
12,2011-01-01,178460
13,2011-02-01,164830
14,2011-03-01,177971
15,2011-04-01,150971
16,2011-05-01,151154
17,2011-06-01,155252
18,2011-07-01,156374
19,2011-08-01,167500
20,2011-09-01,162691
21,2011-10-01,172818
22,2011-11-01,161710
23,2011-12-01,161867
24,2012-01-01,167784
25,2012-02-01,135965
26,2012-03-01,145809
27,2012-04-01,133439
28,2012-05-01,143984
29,2012-06-01,149082
30,2012-07-01,152992
31,2012-08-01,148795
32,2012-09-01,139185
33,2012-10-01,153688
34,2012-11-01,170988
35,2012-12-01,154459
36,2013-01-01,178281
37,2013-02-01,150818
38,2013-03-01,152741
39,2013-04-01,148947
40,2013-05-01,151832
41,2013-06-01,152903
42,2013-07-01,158050
43,2013-08-01,144487
44,2013-09-01,135995
45,2013-10-01,151636
46,2013-11-01,156745
47,2013-12-01,157537
48,2014-01-01,212037
49,2014-02-01,179472
50,2014-03-01,176187
51,2014-04-01,160747
52,2014-05-01,177049
53,2014-06-01,179514
54,2014-07-01,179523
55,2014-08-01,163277
56,2014-09-01,159763
57,2014-10-01,172774
58,2014-11-01,179224
59,2014-12-01,174429
60,2015-01-01,189710
61,2015-02-01,198246
62,2015-03-01,205822
63,2015-04-01,184686
64,2015-05-01,189625
65,2015-06-01,200075
66,2015-07-01,196989
67,2015-08-01,188009
68,2015-09-01,184498
69,2015-10-01,200932
70,2015-11-01,184873
71,2015-12-01,177284
72,2016-01-01,211474
73,2016-02-01,198427
74,2016-03-01,196968
75,2016-04-01,186106
76,2016-05-01,202393
77,2016-06-01,208524
78,2016-07-01,203504
79,2016-08-01,202213
80,2016-09-01,189380
81,2016-10-01,199363
82,2016-11-01,189023
83,2016-12-01,204013
84,2017-01-01,206327
85,2017-02-01,179196
86,2017-03-01,206184
87,2017-04-01,196268
88,2017-05-01,210164
89,2017-06-01,218254
90,2017-07-01,210315
91,2017-08-01,203762
92,2017-09-01,208372
93,2017-10-01,218688
94,2017-11-01,216004
95,2017-12-01,218487
96,2018-01-01,254277
97,2018-02-01,192235
98,2018-03-01,222761
99,2018-04-01,212075
100,2018-05-01,231804
101,2018-06-01,235141
102,2018-07-01,238043
103,2018-08-01,238695
104,2018-09-01,229118
105,2018-10-01,251578
106,2018-11-01,228639
107,2018-12-01,213589
108,2019-01-01,240913
109,2019-02-01,202429
110,2019-03-01,222599
111,2019-04-01,222661
112,2019-05-01,246044
113,2019-06-01,246244
114,2019-07-01,131222
115,2019-08-01,178772
116,2019-09-01,181784
117,2019-10-01,176866
118,2019-11-01,176730
119,2019-12-01,167388
120,2020-01-01,168759
121,2020-02-01,149338
122,2020-03-01,157687
123,2020-04-01,142069
124,2020-05-01,205656
125,2020-06-01,277866
126,2020-07-01,277210
127,2020-08-01,309696
128,2020-09-01,253049
129,2020-10-01,238452
130,2020-11-01,206018
131,2020-12-01,205488
132,2021-01-01,199804
133,2021-02-01,176784
134,2021-03-01,186469
